ID	Name	Name_ctd	RA	Dec	N1p5	N1	z1p5	z1	zBCG	sigma2001p5	err_sigma2001p5	sigma2001	err_sigma2001	Mdyn1p5	err_Mdyn1p5	Mdyn1	err_Mdyn1	MSZ	err_MSZ	Flag	Dataset	PSZ_other	Beyond_PSZ2
625	PSZ2	G126.57+51.61	12:29:54.47	+65:21:11.8	21	12	0.816	0.815	-	994	148	609	116	0.41	0.17	0.12	0.08	0.65	0.06	2	LP15	0	0
628	PSZ2	G126.72−21.03	01:10:29.27	+41:40:53.9	9	9	0.196	0.196	-	987	239	987	239	0.67	0.55	0.67	0.55	0.33	0.05	1	LP15	0	0
629	PSZ2	G126.72−72.82	00:55:51.88	−09:59:08.2	84	53	0.055	0.055	0.0547	565	47	543	48	0.14	0.02	0.13	0.03	0.14	0.02	1	SDSS	0	0
630	PSZ2	G127.01+26.21	05:58:03.54	+86:13:49.5	13	12	0.577	0.576	0.5760	1063	200	1070	204	0.61	0.37	0.62	0.40	0.64	0.07	1	ITP13	0	0
632	PSZ2	G127.44−34.74	01:08:19.05	+27:58:02.1	16	15	0.240	0.240	0.2453	797	135	777	131	0.34	0.17	0.32	0.17	0.40	0.06	1	SDSS	0	0
633	PSZ2	G127.50−30.52	01:10:08.22	+32:09:34.7	18	14	0.334	0.334	-	835	134	880	154	0.36	0.17	0.42	0.24	0.43	0.05	1	SDSS	0	0
636a	PSZ2	G128.15−24.71	01:15:27.65	+37:54:31.0	22	22	0.264	0.264	-	1317	200	1317	200	1.26	0.50	1.26	0.50	0.38	0.05	0	LP15	0	0
641	PSZ2	G130.13−17.02	01:30:55.20	+45:17:18.7	20	20	0.211	0.211	0.2097	908	139	908	139	0.48	0.21	0.48	0.21	0.45	0.05	1	ITP13	0	0
642	PSZ2	G130.21−62.60	01:04:55.38	+00:03:36.3	24	18	0.273	0.273	0.2721	1425	199	1330	204	1.54	0.57	1.31	0.61	0.53	0.05	1	SDSS	0	0
644	PSZ2	G130.64+37.16	10:47:45.22	+78:00:00.2	15	15	0.472	0.472	0.4722	1166	197	1168	197	0.82	0.44	0.82	0.44	0.35	0.07	1	LP15	0	0
652	PSZ2	G133.59+50.68	11:46:48.99	+65:05:01.9	57	56	0.530	0.530	0.5242	1112	107	1171	100	0.65	0.12	0.75	0.14	0.45	0.05	1	LP15	0	0
653	PSZ2	G133.60+69.04	12:29:01.82	+47:34:11.3	27	26	0.258	0.258	0.2588	1168	155	1037	131	0.91	0.31	0.66	0.23	0.59	0.04	1	SDSS	0	0
657	PSZ2	G134.59+53.38	11:50:49.20	+62:19:48.1	17	17	0.347	0.347	0.3452	1004	165	978	155	0.59	0.29	0.55	0.27	0.38	0.05	1	SDSS	0	0
659	PSZ2	G134.70+48.91	11:33:14.71	+66:22:46.2	63	43	0.116	0.115	0.1153	722	67	676	66	0.26	0.05	0.22	0.05	0.34	0.02	1	SDSS	0	0
663	PSZ2	G135.19+57.88	12:02:03.81	+58:02:07.9	61	46	0.103	0.103	0.1028	744	70	704	66	0.29	0.05	0.25	0.06	0.20	0.02	1	SDSS	0	0
665	PSZ2	G135.76−62.03	01:15:06.24	+00:17:44.2	162	129	0.045	0.045	-	549	37	536	30	0.13	0.01	0.12	0.01	0.13	0.02	0	SDSS	0	0
672	PSZ2	G136.92+59.46	12:00:17.72	+56:11:57.8	104	78	0.065	0.065	-	679	53	662	48	0.23	0.03	0.21	0.03	0.17	0.02	1	SDSS	0	0
678	PSZ2	G138.32−39.82	01:42:07.59	+21:31:10.5	40	36	0.279	0.279	-	1320	147	1339	143	1.23	0.31	1.28	0.35	0.56	0.05	1	SDSS	0	0
681	PSZ2	G139.00+50.92	11:20:27.79	+63:14:48.4	11	7	0.784	0.784	-	787	162	836	216	0.24	0.17	0.31	0.32	0.64	0.08	1	LP15	0	0
682	PSZ2	G139.18+56.37	11:42:24.78	+58:32:05.6	20	16	0.326	0.325	0.3220	1392	212	1397	228	1.42	0.61	1.46	0.75	0.69	0.04	1	SDSS	0	0
683	PSZ2	G139.62+24.18	06:21:48.72	+74:42:03.2	22	22	0.266	0.266	0.2660	938	144	938	144	0.51	0.20	0.51	0.20	0.76	0.05	1	ITP13	0	0
684	PSZ2	G139.72−17.13	02:19:44.18	+42:50:13.3	18	18	0.155	0.155	0.1561	645	105	645	105	0.20	0.09	0.20	0.09	0.32	0.04	1	LP15	0	0
689	PSZ2	G141.77+14.19	04:41:05.94	+68:13:16.1	19	20	0.818	0.819	0.8208	1158	173	1257	182	0.63	0.28	0.78	0.33	0.77	0.09	1	ITP13	0	0
690	PSZ2	G141.98+69.31	12:12:40.51	+46:21:05.2	16	-	0.713	-	-	1413	240	-	-	1.16	0.59	-	-	0.57	0.07	1	LP15	0	0
696	PSZ2	G143.26+65.24	11:59:31.82	+49:48:05.8	22	19	0.349	0.349	0.3574	1089	158	1080	161	0.72	0.28	0.71	0.32	0.75	0.04	1	SDSS	0	0
697	PSZ2	G143.44+53.66	11:14:56.81	+59:26:49.0	12	8	0.361	0.362	0.3589	636	125	610	146	0.18	0.11	0.17	0.15	0.48	0.05	0	SDSS	0	0
702	PSZ2	G144.33+62.85	11:48:52.46	+51:37:51.3	39	31	0.131	0.131	-	647	73	609	70	0.20	0.05	0.17	0.05	0.23	0.03	1	SDSS	0	0
709	PSZ2	G145.65+59.30	11:32:41.89	+54:13:10.1	30	28	0.347	0.346	0.3474	1139	144	1048	128	0.80	0.25	0.64	0.21	0.40	0.05	1	SDSS	0	0
721	PSZ2	G147.88+53.24	10:57:27.09	+57:59:29.9	13	12	0.601	0.601	-	1435	270	1455	277	1.33	0.81	1.40	0.90	0.59	0.05	1	SDSS	0	0
722	PSZ2	G148.36+75.23	12:18:26.41	+40:13:28.8	16	16	0.305	0.305	0.3036	1053	179	1026	168	0.69	0.35	0.64	0.33	0.43	0.05	1	SDSS	0	0
724	PSZ2	G149.22+54.18	10:58:23.68	+56:47:41.7	44	35	0.136	0.136	0.1351	810	87	763	83	0.36	0.08	0.31	0.09	0.58	0.02	1	SDSS	0	0
729	PSZ2	G150.24+48.72	10:23:20.83	+59:48:39.4	23	19	0.200	0.199	0.1989	884	126	830	124	0.45	0.17	0.38	0.17	0.31	0.04	1	SDSS	0	0
730	PSZ2	G150.56+46.67	10:08:38.26	+60:46:43.9	21	20	0.396	0.395	0.3990	1081	161	1045	152	0.68	0.28	0.63	0.27	0.47	0.06	1	SDSS	0	0
731	PSZ2	G150.56+58.32	11:15:14.85	+53:19:54.4	21	19	0.466	0.467	0.4664	906	135	904	135	0.41	0.17	0.41	0.18	0.75	0.05	1	SDSS	0	0
734	PSZ2	G151.19+48.27	10:17:42.29	+59:32:53.7	16	15	0.288	0.289	0.2841	935	159	908	154	0.51	0.26	0.47	0.25	0.47	0.04	1	SDSS	0	0
738	PSZ2	G152.33+81.28	12:30:48.13	+34:39:07.6	11	10	0.331	0.331	-	777	159	793	167	0.31	0.22	0.34	0.25	0.49	0.05	1	SDSS	0	0
739	PSZ2	G152.40+75.00	12:13:28.38	+39:46:23.2	10	10	0.456	0.455	-	1138	246	1083	228	0.32	0.26	0.72	0.54	0.41	0.06	0	LP15	0	0
742	PSZ2	G153.00−58.26	01:52:41.96	+01:00:25.6	32	23	0.231	0.231	0.2297	1196	147	944	127	0.98	0.29	0.53	0.20	0.47	0.05	1	SDSS	0	0
748	PSZ2	G154.13+40.19	09:10:50.31	+61:08:03.8	11	10	0.277	0.277	-	1288	264	1317	278	1.27	0.88	1.37	1.03	0.49	0.04	1	SDSS	0	0
752	PSZ2	G155.80+70.40	11:53:47.71	+42:50:44.7	8	8	0.330	0.330	-	1152	281	1123	269	0.97	0.88	0.90	0.82	0.37	0.05	1	SDSS	0	0
755	PSZ2	G156.26+59.64	11:08:30.52	+50:17:56.2	12	8	0.617	0.617	-	862	169	953	228	0.34	0.22	0.48	0.43	0.66	0.06	1	SDSS	0	0
760	PSZ2	G157.63+78.02	12:17:31.16	+36:41:11.3	26	26	0.367	0.367	0.3692	960	129	935	118	0.50	0.17	0.47	0.16	0.51	0.05	1	SDSS	0	0
762	PSZ2	G158.35−47.49	02:24:56.17	+08:49:47.9	9	9	0.310	0.310	0.3115	1024	236	1024	236	0.69	0.57	0.69	0.57	0.48	0.06	1	ITP13	0	0
765	PSZ2	G159.86+42.57	09:19:44.28	+56:22:01.1	22	19	0.278	0.277	0.2778	919	134	902	134	0.48	0.19	0.46	0.20	0.40	0.05	1	SDSS	0	0
767	PSZ2	G160.83+81.66	12:26:58.29	+33:32:49.0	52	49	0.891	0.890	0.8908	1078	99	1084	99	0.47	0.10	0.48	0.10	0.57	0.07	1	LP15	0	0
771	PSZ2	G161.73−28.58	03:18:05.89	+23:01:35.4	12	11	0.438	0.439	0.4416	459	90	419	84	0.07	0.05	0.06	0.04	0.61	0.08	0	LP15	0	0
778a	PSZ2	G163.69+53.52	10:23:05.89	+50:09:37.3	150	82	0.153	0.155	-	2174	151	1629	114	4.98	0.46	2.30	0.33	0.46	0.03	0	SDSS	0	0
779	PSZ2	G163.87+48.54	09:52:49.17	+51:53:05.1	14	14	0.214	0.214	0.2152	874	158	852	149	0.45	0.26	0.42	0.24	0.32	0.04	1	SDSS	0	0
784	PSZ2	G164.65+46.37	09:38:19.67	+52:03:04.1	22	22	0.342	0.342	0.3420	808	118	788	109	0.32	0.13	0.30	0.12	0.56	0.05	1	SDSS	0	0
786	PSZ2	G165.06+54.13	10:23:39.93	+49:08:38.5	39	34	0.142	0.142	0.1422	1020	108	1044	115	0.67	0.17	0.71	0.20	0.49	0.03	1	SDSS	0	0
791	PSZ2	G165.68+44.01	09:22:00.51	+51:55:20.7	18	14	0.210	0.208	0.2040	998	160	998	175	0.63	0.29	0.64	0.37	0.33	0.04	1	SDSS	0	0
793	PSZ2	G165.95+41.01	09:03:05.24	+52:09:29.2	25	24	0.217	0.217	-	750	103	746	98	0.28	0.10	0.28	0.10	0.39	0.05	1	SDSS	0	0
794	PSZ2	G166.09+43.38	09:17:53.42	+51:43:37.6	27	25	0.218	0.218	0.2168	1181	156	1161	150	0.96	0.33	0.92	0.33	0.69	0.03	1	SDSS	0	0
804	PSZ2	G167.98−59.95	02:14:41.09	−04:34:02.5	31	30	0.140	0.140	0.1393	762	95	754	89	0.31	0.09	0.30	0.09	0.41	0.04	1	SDSS	0	0
805	PSZ2	G168.33+69.73	11:36:07.42	+40:02:25.4	19	17	0.292	0.292	-	863	135	866	137	0.40	0.18	0.41	0.20	0.43	0.04	1	SDSS	0	0
806	PSZ2	G169.62+33.84	08:16:45.97	+49:32:58.5	14	14	0.346	0.346	0.3466	833	151	832	146	0.36	0.21	0.36	0.21	0.54	0.06	1	SDSS	0	0
808	PSZ2	G170.26+73.90	11:51:48.05	+37:15:30.1	17	12	0.164	0.165	0.1650	570	94	569	109	0.14	0.07	0.15	0.10	0.29	0.04	1	SDSS	0	0
809	PSZ2	G170.98+39.45	08:50:58.67	+48:30:02.6	9	8	0.554	0.555	0.5537	951	217	969	232	0.48	0.40	0.52	0.47	0.79	0.07	1	SDSS	0	0
810	PSZ2	G171.08−80.38	01:21:53.44	−20:33:26.5	33	33	0.313	0.313	0.3134	864	101	864	101	0.39	0.11	0.39	0.11	0.29	0.06	0	LP15	1	0
812	PSZ2	G171.48+16.17	06:38:00.94	+43:50:57.2	25	23	0.385	0.385	0.3881	641	88	647	87	0.17	0.06	0.17	0.07	0.40	0.05	0	LP15	0	0
814	PSZ2	G171.98−40.66	03:12:57.83	+08:23:02.0	15	15	0.272	0.272	-	1492	300	1492	300	1.81	0.98	1.81	0.98	1.08	0.05	1	ITP13	0	0
815	PSZ2	G172.63+35.15	08:25:29.06	+47:08:00.6	50	36	0.127	0.127	0.1290	733	73	695	74	0.27	0.06	0.24	0.07	0.37	0.03	1	SDSS	0	0
816	PSZ2	G172.74+65.30	11:11:43.62	+40:49:14.5	101	68	0.075	0.075	0.0781	633	50	680	53	0.19	0.02	0.23	0.04	0.23	0.02	1	SDSS	0	0
817	PSZ2	G172.93+21.34	07:07:37.96	+44:19:22.2	17	17	0.336	0.336	0.3386	990	160	990	160	0.57	0.28	0.57	0.28	0.57	0.06	1	ITP13	0	0
818	PSZ2	G172.98−53.55	02:39:53.13	−01:34:56.0	7	7	0.374	0.374	0.3732	1499	393	1462	377	1.97	2.01	1.84	1.87	0.72	0.05	1	SDSS	0	0
821	PSZ2	G173.90−51.89	02:45:51.74	−00:42:16.5	35	32	0.181	0.181	0.1803	770	91	779	88	0.31	0.09	0.32	0.09	0.32	0.04	1	SDSS	0	0
822	PSZ2	G174.40−57.33	02:31:41.17	−04:52:57.4	8	8	0.186	0.186	0.1852	878	214	856	205	0.51	0.46	0.48	0.43	0.36	0.04	1	SDSS	0	0
824	PSZ2	G175.60+35.47	08:28:05.88	+44:46:00.3	20	10	0.145	0.146	0.1450	680	104	428	90	0.23	0.10	0.07	0.05	0.27	0.04	2	SDSS	0	0
826	PSZ2	G175.89+24.24	07:27:10.46	+42:31:11.0	19	15	0.181	0.182	-	822	128	807	136	0.38	0.17	0.37	0.20	0.31	0.05	1	SDSS	0	0
828	PSZ2	G176.25−52.57	02:48:08.34	−02:16:37.2	22	20	0.237	0.237	0.2337	830	121	846	123	0.37	0.15	0.39	0.17	0.61	0.05	1	SDSS	0	0
829	PSZ2	G176.27+37.54	08:40:05.71	+44:21:44.1	15	13	0.636	0.636	-	1505	264	1618	295	1.46	0.79	1.80	1.09	0.51	0.07	1	SDSS	0	0
833	PSZ2	G178.94+56.00	10:19:52.09	+40:59:18.5	43	39	0.093	0.093	0.0914	772	83	798	82	0.32	0.08	0.35	0.09	0.20	0.03	1	SDSS	0	0
834a	PSZ2	G179.09+60.12	10:40:43.44	+39:57:05.3	33	19	0.140	0.139	0.1356	1443	175	1345	201	1.71	0.50	1.46	0.65	0.37	0.03	0	SDSS	0	0
836	PSZ2	G179.45−43.92	03:19:18.34	+02:05:35.6	23	23	0.397	0.397	0.4005	1324	186	1324	186	1.17	0.45	1.17	0.45	0.47	0.07	1	LP15	0	0
847	PSZ2	G182.59+55.83	10:17:03.64	+39:02:49.4	33	26	0.205	0.205	0.2056	1285	155	1176	149	1.20	0.35	0.96	0.33	0.58	0.03	1	SDSS	0	0
850	PSZ2	G183.90+42.99	09:10:45.95	+38:50:44.5	10	8	0.558	0.560	0.5635	1302	281	1304	312	1.10	0.83	1.15	1.05	0.63	0.07	1	SDSS	0	0
852	PSZ2	G183.92+16.36	07:01:30.22	+32:54:51.2	17	17	0.090	0.090	0.0914	505	83	505	83	0.11	0.05	0.11	0.05	0.27	0.06	1	LP15	0	0
853	PSZ2	G184.24+43.69	09:14:25.33	+38:35:21.9	9	7	0.394	0.394	0.3944	1101	251	940	243	0.80	0.66	0.55	0.56	0.46	0.05	1	SDSS	0	0
859	PSZ2	G185.68+09.82	06:37:14.93	+28:38:02.8	39	40	0.390	0.391	0.3897	1254	129	1337	135	0.99	0.25	1.18	0.29	0.58	0.07	1	LP15	0	0
862	PSZ2	G186.37+37.26	08:42:57.63	+36:22:01.0	9	-	0.285	-	0.2833	962	220	-	-	0.60	0.49	-	-	1.11	0.04	2	SDSS	0	0
865	PSZ2	G186.81+07.32	06:29:27.75	+26:32:06.1	20	-	0.221	-	-	744	118	-	-	0.28	0.12	-	-	0.49	0.04	2	ITP13	0	0
866	PSZ2	G186.99+38.65	08:50:07.91	+36:04:13.7	14	13	0.379	0.379	0.3764	1253	227	1253	229	1.06	0.61	1.08	0.65	0.64	0.05	1	SDSS	0	0
873	PSZ2	G189.31+59.24	10:31:39.78	+35:05:34.4	39	30	0.123	0.123	0.1192	753	85	731	86	0.30	0.08	0.28	0.09	0.31	0.03	1	SDSS	0	0
881	PSZ2	G192.18+56.12	10:16:22.86	+33:38:17.4	28	19	0.127	0.127	0.1272	708	92	670	100	0.26	0.08	0.22	0.10	0.35	0.03	1	SDSS	0	0
883	PSZ2	G192.77+33.14	08:28:31.65	+30:25:52.8	101	98	0.049	0.049	0.0503	815	52	828	53	0.38	0.05	0.40	0.05	0.15	0.02	1	SDSS	0	0
884	PSZ2	G192.90+29.63	08:13:13.53	+29:20:00.1	7	-	0.372	-	0.3699	790	207	-	-	0.35	0.36	-	-	0.43	0.06	2	SDSS	0	0
887	PSZ2	G193.90+09.41	06:51:10.71	+21:08:42.1	29	29	0.194	0.194	-	756	99	756	99	0.29	0.09	0.29	0.09	0.40	0.05	1	LP15	0	0
890	PSZ2	G194.98+54.12	10:06:55.88	+32:00:21.5	7	-	0.398	-	-	721	189	-	-	0.27	0.28	-	-	0.52	0.06	1	SDSS	0	0
892	PSZ2	G195.24+29.34	08:14:35.46	+27:19:15.7	14	10	0.286	0.286	0.2872	675	123	450	95	0.21	0.12	0.08	0.06	0.42	0.05	2	SDSS	0	0
894	PSZ2	G195.60+44.06	09:20:28.96	+30:28:53.4	19	15	0.296	0.297	-	1320	206	1300	220	1.26	0.56	1.23	0.67	0.59	0.05	1	SDSS	0	0
898	PSZ2	G197.13+33.46	08:34:34.80	+26:56:56.4	7	-	0.459	-	0.4512	819	215	-	-	0.37	0.37	-	-	0.50	0.06	2	SDSS	0	0
908	PSZ2	G200.06+77.22	11:54:07.73	+29:14:13.8	9	-	0.336	-	-	745	170	-	-	0.29	0.24	-	-	0.38	0.05	0	SDSS	0	0
910	PSZ2	G200.82+27.42	08:13:39.76	+22:00:28.0	8	-	0.455	-	-	1194	291	-	-	0.98	0.89	-	-	0.59	0.06	2	SDSS	0	0
913	PSZ2	G201.50−27.31	04:54:11.01	−03:01:04.2	47	47	0.540	0.540	-	1327	141	1327	141	1.04	0.23	1.04	0.23	0.81	0.07	1	LP15	0	0
917	PSZ2	G202.66+66.98	11:07:30.90	+28:51:01.2	20	18	0.482	0.481	0.4814	851	130	834	128	0.34	0.15	0.32	0.15	0.42	0.06	1	LP15	0	0
918	PSZ2	G203.18+20.84	07:51:25.11	+17:30:51.2	16	10	0.187	0.188	0.1865	706	120	640	135	0.25	0.13	0.21	0.16	0.32	0.04	0	SDSS	0	0
922	PSZ2	G204.10+16.51	07:35:47.52	+15:06:50.8	22	22	0.121	0.121	0.1222	817	134	817	134	0.38	0.15	0.38	0.15	0.36	0.03	1	ITP13	0	0
924	PSZ2	G204.73+15.88	07:34:27.81	+14:16:39.3	19	19	0.347	0.347	0.3471	1054	161	1054	161	0.66	0.30	0.66	0.30	0.58	0.06	1	ITP13	0	0
930	PSZ2	G205.90+73.76	11:38:04.23	+27:58:38.3	13	12	0.447	0.447	0.4474	1095	206	1136	217	0.71	0.43	0.80	0.52	0.70	0.05	1	SDSS	0	0
933a	PSZ2	G206.45+13.89	07:30:00.30	+11:56:54.1	59	59	0.405	0.405	0.4123	1500	130	1500	130	1.58	0.29	1.58	0.29	0.70	0.06	0	ITP13	0	0
936	PSZ2	G207.88+81.31	12:12:18.48	+27:32:55.1	8	7	0.356	0.356	0.3507	649	158	632	163	0.20	0.18	0.20	0.20	0.75	0.04	2	SDSS	0	0
937	PSZ2	G208.57−44.31	04:02:36.08	−15:40:49.5	14	12	0.820	0.820	0.8196	702	127	688	131	0.17	0.10	0.16	0.10	0.66	0.08	0	LP15	1	0
957	PSZ2	G212.44+63.19	10:52:50.45	+24:14:53.3	9	-	0.530	-	-	684	156	-	-	0.20	0.17	-	-	0.47	0.07	2	SDSS	0	0
963	PSZ2	G213.30+50.99	10:02:14.14	+20:32:16.6	11	-	0.320	-	0.3196	1236	254	-	-	1.10	0.77	-	-	0.38	0.05	2	SDSS	0	0
964	PSZ2	G213.39+80.59	12:09:23.69	+26:40:46.7	16	12	0.559	0.559	0.5586	1013	172	1083	206	0.53	0.27	0.65	0.42	0.66	0.06	1	SDSS	0	0
976a	PSZ2	G216.62+47.00	09:49:51.80	+17:07:10.5	15	10	0.392	0.391	0.3828	1533	269	1429	301	1.80	0.97	1.58	1.19	0.83	0.05	0	SDSS	0	0
979	PSZ2	G217.09+40.15	09:24:05.30	+14:10:21.5	50	29	0.139	0.140	0.1356	777	79	551	66	0.32	0.07	0.13	0.04	0.38	0.03	1	SDSS	0	0
981	PSZ2	G218.54+13.26	07:48:51.66	+01:06:39.6	17	-	0.266	-	0.2682	796	130	-	-	0.33	0.16	-	-	0.48	0.05	2	ITP13	0	0
983	PSZ2	G218.59+71.31	11:29:43.79	+23:50:33.5	40	30	0.137	0.137	-	841	93	816	96	0.40	0.10	0.37	0.12	0.34	0.03	1	SDSS	0	0
985	PSZ2	G219.12+44.49	09:42:53.70	+14:29:32.0	14	11	0.343	0.340	-	867	157	912	182	0.41	0.23	0.48	0.33	0.44	0.06	1	SDSS	0	0
994	PSZ2	G222.52+20.58	08:21:36.71	+01:16:12.0	13	11	0.087	0.087	-	774	146	797	159	0.35	0.21	0.39	0.27	0.22	0.03	1	SDSS	0	0
1002	PSZ2	G224.00+69.33	11:24:03.97	+21:29:28.1	22	19	0.193	0.193	0.1925	976	142	952	142	0.59	0.24	0.56	0.25	0.53	0.04	1	SDSS	0	0
1009	PSZ2	G224.82+13.62	08:01:41.61	−04:03:46.2	28	-	0.274	-	0.2759	827	103	-	-	0.35	0.12	-	-	0.49	0.05	2	ITP13	0	0
1020	PSZ2	G226.18+76.79	11:55:15.00	+23:26:40.4	29	28	0.140	0.140	-	1032	126	1036	126	0.70	0.22	0.71	0.23	0.59	0.02	1	SDSS	0	0
1030	PSZ2	G228.16+75.20	11:49:41.71	+22:23:57.4	13	11	0.543	0.542	-	1463	276	1501	300	1.46	0.89	1.60	1.11	1.04	0.05	1	SDSS	0	0
1031	PSZ2	G228.29+55.08	10:32:50.42	+13:52:42.6	11	9	0.318	0.318	0.3152	763	157	760	170	0.30	0.21	0.31	0.25	0.41	0.05	1	SDSS	0	0
1035	PSZ2	G228.50+34.95	09:22:07.65	+03:45:58.8	9	-	0.268	-	0.2701	536	122	-	-	0.12	0.10	-	-	0.10	0.10	0	SDSS	0	0
1036a	PSZ2	G228.62+68.44	11:23:18.99	+19:38:12.3	88	74	0.103	0.103	-	1352	109	1351	100	1.44	0.20	1.44	0.23	0.27	0.03	0	SDSS	0	0
1038	PSZ2	G229.37+49.70	10:14:49.47	+10:39:23.1	7	-	0.195	-	0.1975	932	245	-	-	0.62	0.63	-	-	0.33	0.04	2	SDSS	0	0
1040	PSZ2	G229.74+77.96	12:01:31.89	+23:06:50.5	7	-	0.262	-	0.2640	1089	286	-	-	0.90	0.91	-	-	0.74	0.04	2	SDSS	0	0
1045	PSZ2	G230.48+71.51	11:36:08.54	+20:19:13.0	7	-	0.313	-	0.3134	715	187	-	-	0.28	0.28	-	-	0.50	0.05	2	SDSS	0	0
1050	PSZ2	G231.56+60.03	10:54:17.54	+14:39:04.2	7	-	0.301	-	0.2994	750	197	-	-	0.32	0.33	-	-	0.64	0.05	2	SDSS	0	0
1056	PSZ2	G232.84+38.13	09:40:24.59	+02:28:39.5	16	14	0.151	0.150	0.1530	706	120	729	128	0.26	0.13	0.29	0.16	0.31	0.04	1	SDSS	0	0
1063	PSZ2	G233.68+36.14	09:35:11.98	+00:49:06.0	9	9	0.357	0.356	-	1208	276	1195	267	1.05	0.86	1.02	0.84	0.47	0.06	1	SDSS	0	0
1065	PSZ2	G234.09+10.45	08:09:06.41	−13:30:35.0	29	-	0.294	-	0.2979	1274	181	-	-	1.12	0.36	-	-	0.42	0.05	2	ITP13	0	0
1067	PSZ2	G234.59+73.01	11:44:02.16	+19:56:59.4	138	138	0.022	0.022	0.0208	775	62	775	62	0.34	0.03	0.34	0.03	0.17	0.01	0	SDSS	0	0
1076a	PSZ2	G238.69+63.26	11:12:49.67	+13:28:10.2	48	21	0.168	0.167	-	1724	178	1085	153	2.68	0.58	0.80	0.33	0.42	0.04	0	SDSS	0	0
1093	PSZ2	G241.79+50.30	10:34:48.57	+04:24:19.8	11	7	0.155	0.156	0.1553	575	118	650	168	0.16	0.11	0.24	0.24	0.26	0.04	1	SDSS	0	0
1101	PSZ2	G243.02+42.87	10:14:00.35	−00:53:32.6	65	65	0.045	0.045	-	751	59	751	59	0.31	0.05	0.31	0.05	0.16	0.02	1	SDSS	0	0
1104	PSZ2	G243.64+67.74	11:32:51.17	+14:27:40.3	95	63	0.081	0.081	0.0811	724	58	711	57	0.27	0.03	0.26	0.05	0.39	0.02	1	SDSS	0	0
1174	PSZ2	G254.96+55.88	11:13:06.60	+02:27:46.7	103	70	0.076	0.076	-	994	77	758	58	0.64	0.08	0.31	0.05	0.21	0.02	2	SDSS	0	0
1175a	PSZ2	G255.07+54.84	11:10:02.91	+01:40:16.6	59	41	0.100	0.101	0.1031	1691	146	1488	149	2.65	0.49	1.89	0.46	0.21	0.03	0	SDSS	0	0
1188	PSZ2	G257.51+57.54	11:21:32.56	+02:53:14.1	79	63	0.049	0.049	0.0488	568	48	529	42	0.14	0.02	0.12	0.02	0.14	0.02	1	SDSS	0	0
1192	PSZ2	G259.30+84.41	12:34:46.07	+23:01:01.1	11	8	0.321	0.323	0.3228	999	205	911	218	0.62	0.43	0.52	0.47	0.43	0.05	1	SDSS	0	0
1205	PSZ2	G261.88+62.85	11:41:11.82	+05:44:05.1	71	45	0.098	0.098	0.0974	680	60	654	62	0.23	0.04	0.21	0.05	0.22	0.03	1	SDSS	0	0
1254	PSZ2	G270.78+36.83	11:04:21.06	−19:14:18.3	25	24	0.516	0.516	0.5146	843	109	855	113	0.32	0.12	0.33	0.12	0.52	0.06	0	LP15	1	0
1274	PSZ2	G273.59+63.27	12:00:34.67	+03:22:11.7	35	35	0.134	0.134	-	1360	150	1360	150	1.46	0.41	1.46	0.41	0.56	0.03	1	SDSS	0	0
1319	PSZ2	G283.26+77.37	12:33:53.01	+15:11:40.7	17	12	0.285	0.285	0.2835	1243	205	1098	209	1.09	0.53	0.81	0.52	0.50	0.05	1	SDSS	0	0
1320	PSZ2	G283.91+73.87	12:29:50.91	+11:44:40.5	119	77	0.086	0.086	-	793	59	807	59	0.34	0.04	0.36	0.06	0.30	0.02	0	SDSS	0	0
1323	PSZ2	G284.59+70.84	12:27:30.00	+08:49:29.6	99	81	0.090	0.090	0.0894	834	66	815	58	0.39	0.05	0.37	0.05	0.20	0.03	1	SDSS	0	0
1329	PSZ2	G285.63+72.75	12:30:48.87	+10:32:46.9	18	14	0.166	0.165	0.1705	956	153	968	170	0.58	0.27	0.61	0.35	0.56	0.03	1	SDSS	0	0
1346	PSZ2	G287.46+81.12	12:41:17.47	+18:34:28.5	131	103	0.072	0.072	0.0704	778	56	810	51	0.33	0.03	0.37	0.04	0.25	0.02	1	SDSS	0	0
1418	PSZ2	G301.11+60.05	12:47:53.61	−02:48:26.5	13	13	0.182	0.182	0.1819	1022	192	996	182	0.70	0.43	0.66	0.40	0.41	0.04	1	SDSS	0	0
1450	PSZ2	G306.66+61.06	12:58:41.37	−01:45:51.3	72	56	0.084	0.083	0.0822	749	66	761	65	0.30	0.05	0.31	0.06	0.44	0.02	1	SDSS	0	0
1458	PSZ2	G308.64+60.26	13:02:52.65	−02:31:04.3	83	61	0.083	0.083	0.0823	708	59	707	58	0.25	0.04	0.25	0.05	0.19	0.03	1	SDSS	0	0
1493a	PSZ2	G316.43+54.02	13:23:14.77	−07:58:49.2	27	27	0.525	0.525	0.5325	1321	164	1321	164	1.06	0.36	1.06	0.36	0.55	0.06	0	LP15	0	0
1501	PSZ2	G318.25+73.24	13:09:29.75	+10:48:42.8	7	-	0.528	-	-	1028	270	-	-	0.64	0.66	-	-	0.54	0.07	0	SDSS	0	0
1504a	PSZ2	G318.62+58.55	13:24:14.95	−03:20:03.9	14	12	0.240	0.240	-	1625	295	1580	301	2.34	1.34	2.22	1.43	0.40	0.05	0	SDSS	0	0
